GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
8600000US11364,11364,ZCTA5 11364,702075
8600000US11365,11365,ZCTA5 11365,850635
8600000US11366,11366,ZCTA5 11366,253130
8600000US11367,11367,ZCTA5 11367,749880
8600000US11368,11368,ZCTA5 11368,2204500
8600000US11369,11369,ZCTA5 11369,715840
8600000US11370,11370,ZCTA5 11370,450715
8600000US11371,11371,ZCTA5 11371,-
8600000US11372,11372,ZCTA5 11372,1289055
8600000US11373,11373,ZCTA5 11373,1942060
8600000US11374,11374,ZCTA5 11374,858990
8600000US11375,11375,ZCTA5 11375,1451805
8600000US11377,11377,ZCTA5 11377,1670990
8600000US11378,11378,ZCTA5 11378,648665
8600000US11379,11379,ZCTA5 11379,676770
8600000US11385,11385,ZCTA5 11385,1928750
8600000US11411,11411,ZCTA5 11411,433965
8600000US11412,11412,ZCTA5 11412,922675
8600000US11413,11413,ZCTA5 11413,1024825
8600000US11414,11414,ZCTA5 11414,525960
8600000US11415,11415,ZCTA5 11415,410725
8600000US11416,11416,ZCTA5 11416,528180
8600000US11417,11417,ZCTA5 11417,633780
8600000US11418,11418,ZCTA5 11418,760005
8600000US11419,11419,ZCTA5 11419,1120955
8600000US11420,11420,ZCTA5 11420,1059710
8600000US11421,11421,ZCTA5 11421,948360
8600000US11422,11422,ZCTA5 11422,827595
8600000US11423,11423,ZCTA5 11423,738330
8600000US11424,11424,ZCTA5 11424,-
8600000US11425,11425,ZCTA5 11425,-
8600000US11426,11426,ZCTA5 11426,395280
8600000US11427,11427,ZCTA5 11427,457520
8600000US11428,11428,ZCTA5 11428,407430
8600000US11429,11429,ZCTA5 11429,622380
8600000US11430,11430,ZCTA5 11430,3680
8600000US11432,11432,ZCTA5 11432,1249300
8600000US11433,11433,ZCTA5 11433,680040
8600000US11434,11434,ZCTA5 11434,1359975
8600000US11435,11435,ZCTA5 11435,1260240
8600000US11436,11436,ZCTA5 11436,429960
