GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
8600000US13407,13407,ZCTA5 13407,2063,149,58,43,63
8600000US13408,13408,ZCTA5 13408,1025,59,26,316,53
8600000US13409,13409,ZCTA5 13409,1145,80,0,24,11
8600000US13410,13410,ZCTA5 13410,58,23,0,18,13
8600000US13411,13411,ZCTA5 13411,1077,113,25,77,55
8600000US13413,13413,ZCTA5 13413,6978,567,1,131,337
8600000US13415,13415,ZCTA5 13415,23,15,0,0,0
8600000US13416,13416,ZCTA5 13416,933,96,12,26,43
8600000US13417,13417,ZCTA5 13417,1511,78,14,63,32
8600000US13418,13418,ZCTA5 13418,131,7,0,0,0
8600000US13420,13420,ZCTA5 13420,349,0,0,41,81
8600000US13421,13421,ZCTA5 13421,4848,533,69,105,73
8600000US13424,13424,ZCTA5 13424,833,32,3,33,89
8600000US13425,13425,ZCTA5 13425,727,76,0,91,43
8600000US13428,13428,ZCTA5 13428,549,24,15,32,57
8600000US13431,13431,ZCTA5 13431,606,40,2,17,81
8600000US13433,13433,ZCTA5 13433,588,38,0,28,33
8600000US13435,13435,ZCTA5 13435,104,9,0,4,0
8600000US13436,13436,ZCTA5 13436,43,6,0,0,0
8600000US13437,13437,ZCTA5 13437,142,12,0,0,8
8600000US13438,13438,ZCTA5 13438,1296,89,2,39,100
8600000US13439,13439,ZCTA5 13439,1277,219,6,159,80
8600000US13440,13440,ZCTA5 13440,14669,1376,57,488,824
8600000US13441,13441,ZCTA5 13441,18,0,0,0,0
8600000US13450,13450,ZCTA5 13450,29,4,0,0,0
8600000US13452,13452,ZCTA5 13452,1512,168,21,168,39
8600000US13454,13454,ZCTA5 13454,170,33,0,15,11
8600000US13456,13456,ZCTA5 13456,1854,107,3,0,44
8600000US13459,13459,ZCTA5 13459,849,69,9,54,141
8600000US13460,13460,ZCTA5 13460,1530,214,0,143,109
8600000US13461,13461,ZCTA5 13461,1171,96,0,18,60
8600000US13464,13464,ZCTA5 13464,518,40,0,25,28
8600000US13468,13468,ZCTA5 13468,161,8,3,16,13
8600000US13469,13469,ZCTA5 13469,395,30,0,0,11
8600000US13470,13470,ZCTA5 13470,248,28,0,2,5
8600000US13471,13471,ZCTA5 13471,1233,97,0,30,76
8600000US13472,13472,ZCTA5 13472,18,0,0,0,0
8600000US13473,13473,ZCTA5 13473,252,29,5,9,14
8600000US13475,13475,ZCTA5 13475,3,5,0,0,0
8600000US13476,13476,ZCTA5 13476,1341,87,16,42,54
8600000US13477,13477,ZCTA5 13477,768,0,0,0,14
8600000US13478,13478,ZCTA5 13478,1129,86,10,74,18
8600000US13480,13480,ZCTA5 13480,1380,52,3,79,86
8600000US13483,13483,ZCTA5 13483,152,11,0,0,0
8600000US13484,13484,ZCTA5 13484,45,13,0,0,42
8600000US13485,13485,ZCTA5 13485,349,46,0,9,27
8600000US13486,13486,ZCTA5 13486,346,30,0,15,0
8600000US13488,13488,ZCTA5 13488,46,5,0,0,4
